,name,description
258,PhysicalElementDefinition,"A PhysicalElementDefinition is a specialization of
            BreakdownElementDefinition that identifies a view of a version ( PhysicalElementVersion)
            of a PhysicalElement. "
259,PhysicalElementUsage,"A PhysicalElementUsage is a specialization of BreakdownElementUsage that
            is a relationship between a parent and child PhysicalElement. In a physical breakdown,
            the aircraft (parent) might include (as children) a fuselage, wings, tail and
            undercarriage. "
260,PhysicalElementVersion,"A PhysicalElementVersion is a specialization of BreakdownElementVersion
            that identifies a version of a PhysicalElement An engineer changes the details
            describing the undercarriage that is an element in a physical breakdown of an aircraft.
         "
261,Position,"A Position is a function or job performed by a person. It defines
            responsibilities and activities. A position that is not fulfilled by a person is a
            vacancy. Company Director Service Engineer "
262,PositionAssignment,"A PositionAssignment is an association of a Position with activity or
            product data. "
263,PositionGroup,"A PositionGroup is a group for collecting people in their positions to
            cooperate in an assignment. People representing utility companies who cooperate with
            each other to coordinate road works. "
264,PositionGroupAssignment,"A PositionGroupAssignment is an association of a PositionGroup with
            activity or product data. "
265,PositionGroupRelationship,"A PositionGroupRelationship is a relationship that specifies the
            participation of a position in a group. "
266,PositionPositionTypeAssignment,"A PositionPositionTypeAssignment is an assignment of PositionType to a
            Position. It allows many positions to be described by many position types.
         "
267,PositionRelationship," A PositionRelationship is a specialization of an RelationshipObject
            that is a relationship between two instances of Position. Examples of relationships
            between Positions are: Superior / Subordinate Superceded by NOTE: The meaning of the
            relationship is determined by classification which is identified by the
            RelationshipObject property. The possible classifications are subclasses of .
         "
268,PositionType,"A PositionType is a recognized kind of position. Chief Executive Officer
            Manager Service engineer Programmer Aircraft engineering technician propulsion
         "
269,PositionTypeAssignment,"A PositionTypeAssignment is the association of a PositionType with
            activity or product data. "
270,PrecisionQualifier," A PrecisionQualifier is a specification of the number of significant
            digits in the representation of a value. PrecisionQualifier shall be interpreted in
            accordance with PrecisionQualifier in part 45 of this standard. NOTE: The precision is
            defined in clause 2 of ""The Guide to the Expression of Uncertainty in Measurement"".
         "
271,PreDefinedTypeQualifier,"A PreDefinedTypeQualifier is a type of TypeQualifierSelect whose
            PreDefinedTypeQualifier has predefined values: 'minimum': the value is a minimum value;
            'maximum': the value is a maximum value; 'nominal': the value is a nominal value;
            'specified': the value has been specified; 'typical': the value is typical;
            'calculated': the value has been calculated; 'designed': the value represents a value
            intended by the design; 'estimated': the value has been estimated; 'measured': the value
            has been measured; 'required': the value represents a requirement; 'set point': the
            value is used as an initialization value; 'basic': the value is a basic value; 'lower
            deviation': the value is maximum deviation in the negative direction from the nominal or
            basic value; 'upper deviation': the value is maximum deviation in the positive direction
            from the nominal or basic value. "
272,Probability,"A Probability is a specialization of PropertyValue that is a probability
            value (see definition 3.5.1 above). "
273,ProbabilityByName," A ProbabilityByName is a specialization of Probability whose value
            belongs to a one of a set of named classes, rather than by assigning a specific
            numerical value, which may not be available. A safety assessment methodology classes the
            probability an accident as ""very unlikely"", ""unlikely"", ""significantly likely"" and
            ""almost certain"". Any process that has a ""very likely"" or ""almost certain"" chance of
            causing serious injury is shut down. "
274,ProbabilityDerivationParameter," A ProbabilityDerivationParameter is a specialization of NumericalValue
            that is used by a ProbabilityDerived in a particular role in order to calculate the
            particular probability. In a coin tossing trial, the probability calculated is that of
            getting more than 6 heads in ten tosses. The parameter with the role ""minimum number of
            heads"" will have the value ""6"" NOTE: The value attribute, which holds the parameter
            value, is inherited from the parent generalization. "
275,ProbabilityDerived,"A ProbabilityDerived is a specialization of ProbabilityNumeric that
            associates a particular value of ProbabilityNumeric with the source from which the value
            derived together with any parameters used to get the particular value. NOTE: Where the
            probability derived from a probability distribution, the parameters of
            ProbabilityDerived are those needed to get a single value from the distribution, and not
            those which characterise the distribution. For example, in the case of coin tossing, the
            distribution is a Binomial distribution, with parameters of 'probability for a single
            toss', and 'number of tosses', whereas the parameter for the ProbabilityDerived will be
            the 'number of heads obtained'. "
276,ProbabilityDistribution," A ProbabilityDistribution is a specialization of ProbabilityGenerator
            that is a probability distribution. NOTE: For a full understanding of probability
            distribution and the terms used, a textbook on probability theory should be consulted.
            NOTE: This entity describes a particular probability distribution, rather than the
            general type of distribution. For example, in coin tossing experiment, the number of
            heads that may occur is given by a binomial distribution - that is, a type of
            distribution, and outside the scope of this module. "
277,ProbabilityDistributionParameter," A ProbabilityDistributionParameter is a specialization of
            NumericalValue that is one of the set of values that characterises a probability
            distribution. The Normal (or Gaussian) distribution has, in the standard
            parameterisation, two parameters: the mean and the variance NOTE: For many common
            distributions, the mean and the variance are sufficient to characterize a distribution,
            and the parameter list may be empty. NOTE: ProbabilityDistributionParameter inherits the
            'name' attribute from its parent generalization, and this is used to identify the name
            of the parameter within the particular parameterization. The value attribute is also
            inherited. "
278,ProbabilityFunctionValue," A ProbabilityFunctionValue is a specialization of NumericalValue that
            is the value of the probability function at the given random variable value. NOTE: The
            value is an inherited attribute. It is not in general a probability value. In some
            functions for continuous distributions, the probability that the random variable lies
            between two values is the integral of the function of that range. "
279,ProbabilityGenerator," A ProbabilityGenerator is a specialization of PropertyValue. It is a
            source from the ProbabilityDerived is derived. The ProbabilityDerivationParameters are
            applied to the ProbabilityGenerator to get the particular derived value. NOTE: A
            ProbabilityGenerator will generally be either a ProbabilityDistribution or a function of
            some statistics. A probability of ""0.67"" is derived from a Normal (or Gaussian)
            distribution using the parameter ""plus or minus '1.0' standard deviations from the mean""
         "
280,ProbabilityNamedValue," A ProbabilityNamedValue is used to hold the name of the probability
            value. NOTE: The value attribute is the description inherited from the parent
            generalization. In general, this value will be one of an enumeration of possible values
            defined through reference-data. "
281,ProbabilityNumeric,"A ProbabilityNumeric is a specialization of Probability that is
            expressed as a numeric value between 0 and 1. "
282,ProbabilityNumericValue," A ProbabilityNumericValue is a specialization of NumericalValue
            providing a numeric representation of a probability. NOTE: The value attribute is
            inherited from the parent generalization. "
283,Product," A Product is the identification of a product or of a type of product.
            It is a collector of data common to all revisions of the Product. NOTE: Products that
            this entity data type can represent, include: products existing in the real world;
            products that may come into existence as a consequence of some realization process. This
            includes parts and documents; products that are functions. The SS Titanic is a product
            that could be represented by the entity data type Product. Lifeboat is a class of
            products that could be represented by the entity data type Product. Each lifeboat on the
            SS Titanic is a member of this class. NOTE: A product is identified by an organization
            or a person in an organization. NOTE: A product may have zero or more versions. A
            version of a product is represented with an instance of the entity ProductVersion or of
            one of its specializations. "
284,ProductAsIndividual," A ProductAsIndividual is a specialization of Product that identifies an
            individual artefact that has been made or is planned to be made. It is a collector of
            data common to all revisions of the ProductAsIndividual. NOTE: Revisions (
            ProductAsIndividualVersion) of ProductAsIndividual are used to represent whether an
            individual artefact has yet to be made or has been made. The ProductAsIndividualVersion
            specialization ProductAsPlanned is used to represent the revision of an individual
            artefact that has yet to be made and the specialization ProductAsRealized is used to
            represent the revision of an individual artefact that has been made. NOTE: Where
            physical products are being represented, the ProductAsIndividual represents the physical
            or planned physical realization of a product. NOTE: It is likely, but not essential,
            that the artefact, was or will be made from a product design. The product design will be
            represented by a Product which will be related to the ProductAsIndividual by
            ProductDesignToIndividual. NOTE: Many physical products may be produced from a given
            design. A single Product may lead to many ProductAsIndividuals. The design of a personal
            computer is represented by a Product. The personal computer with a serial number on a
            persons desk is represented by a ProductAsIndividual and an associated revision
            represented by ProductAsRealized. The personal computer that has been ordered, allocated
            a serial number for manufacturing planning, but not yet manufactured, is represented by
            a ProductAsIndividual and an associated revision represented by ProductAsPlanned. HMS
            Daring is the first of a new class of ships known as Type 45 Destroyers. It is due to
            enter service in two years time. The Type 45 ship design that applies to HMS Daring is
            represented by a Product; The ship HMS Daring is represented by a ProductAsIndividual.
            This identifies the planned ship, and when built, the actual ship; The planned revision
            of the future ship HMS Daring is represented by a ProductAsPlanned which is related back
            to the ProductAsIndividual; When built, the first revision the actual ship, HMS Daring
            will be represented by a ProductAsRealized which is related back to the
            ProductAsIndividual. "
285,ProductAsIndividualEffectivity,"A ProductAsIndividualEffectivity is a specialization of Effectivity for
            which the domain of applicability is defined as a set of instances of
            ProductAsIndividual. "
286,ProductAsIndividualVersion," A ProductAsIndividualVersion is a specialization of ProductVersion. It
            is a revision of a ProductAsIndividual and acts as a collector of the definitions of
            this revision. The car on my drive is represented by a ProductAsIndividual. The current
            configuration status of the car can be represented by a ProductAsRealized related to the
            ProductAsIndividual. If a safety modification is made to the car resulting in a new
            configuration status of the car, then this may be represented by a new
            ProductAsRealized. HMS Daring is the first of a new class of ships known as Type 45
            Destroyers. It is due to enter service in two years time. The version of the generic
            Type 45 ship design that applies to HMS Daring is represented by a ProductVersion; The
            ship HMS Daring is represented by a ProductAsIndividual. This identifies the planned
            ship, and when built, the actual ship; The planned revision of the future ship HMS
            Daring is represented by a ProductAsPlanned related back to the ProductAsIndividual;
            When built, the first revision the actual ship, HMS Daring will be represented by a
            ProductAsRealized related back to the ProductAsIndividual. "
287,ProductAsIndividualView," A ProductAsIndividualView is a specialization of ProductViewDefinition
            that defines a characterization view of a version of a ProductAsIndividual. NOTE: The
            ProductAsIndividualView entity type supports the representation of different views of a
            ProductAsIndividual for different purposes. Multiple views of the same
            ProductAsIndividual are represented by different instances of ProductAsIndividualView
            for the same ProductAsIndividualVersion. "
288,ProductAsPlanned,"A ProductAsPlanned is a specialization of ProductAsIndividualVersion
            that identifies a revision of an individual artefact that has yet to be made. NOTE: It
            may be planned to make the artefact from of a version of a product design (
            ProductVersion). If this is the case, then the relationship between the artefact (
            ProductAsPlanned) and the design ( ProductVersion) is represented by
            ProductDesignVersionToIndividual. NOTE: If the planned artefact ( ProductAsPlanned) is
            subsequently made into an actual artefact ( ProductAsRealized) then they are related by
            the ProductPlannedToRealized relationship. "
289,ProductAsRealized,"A ProductAsRealized is a specialization of ProductAsIndividualVersion
            that identifies a revision of an individual artefact that has been made. A product whose
            properties can only be known by observation or by derivation from observations. NOTE:
            Where physical products are being represented, the ProductAsRealized represents the
            physical product - something one can touch. NOTE: The artefact may have been made from a
            version of a product design ( ProductVersion). If this is the case, then the
            relationship between the artefact ( ProductAsRealized) and the design ( ProductVersion)
            is represented by ProductDesignVersionToIndividual. NOTE: The artefact may have been
            planned and represented by ProductAsPlanned. In which case, the actual artefact (
            ProductAsRealized) is related to the planned artefact ( ProductAsPlanned) by the
            ProductPlannedToRealized relationship. "
290,ProductBasedLocationIdentification,"A ProductBasedLocationIdentification is a specialization of
            LocationRepresentation that specifies a location in the context of a product. Seat
            number M in the Aircraft. "
291,ProductConcept,"A ProductConcept is the identification of a set of similar products that
            were, are or will be proposed to customers. NOTE: The definition of product concepts is
            driven by market and customer requirements and forecasting. A ProductConcept often
            corresponds to the highest level item(s) manufactured by an organization for customers.
            In an organization which manufactures cars and engines for cars, the car models will be
            represented by instances of ProductConcept. NOTE: The entity data type ProductConcept
            enables to represent customer-oriented identification of products that are to be
            delivered to customers, while the entity data type Product enables to identify and to
            track the history of items that are designed and manufactured, as a tangible solution,
            or component of the solution, for a product concept. NOTE: A product concept may be
            characterized by a set of product features identified by the customers or derived from
            customers' needs. NOTE: Depending on the kind of industry and products, a product
            concept might be offered to the customers in one or many different configurations.
         "
292,ProductConfiguration,"A ProductConfiguration is the identification of a ProductConcept as a
            configuration. NOTE: The entity ProductConfiguration corresponds to the concept of
            configuration item defined, in some configuration management standards, as an item
            subject to configuration management. A ProductConfiguration may represent a component of
            a contracted product, onto which severe safety rules apply and for which configuration
            management is therefore rigorously applied. NOTE: A ProductConfiguration may identify a
            variation of a ProductConcept, an entire ProductConcept, or some portion thereof. NOTE:
            A ProductConfiguration can be established prior to the existence of a corresponding
            product. "
293,ProductConfigurationHierarchicalRelationship,"A ProductConfigurationHierarchicalRelationship is a specialization of
            ProductConfigurationRelationship that is used to represent a hierarchical relationship
            between a parent ProductConfiguration and a child ProductConfiguration.
         "
294,ProductConfigurationRelationship,"A ProductConfigurationRelationship is a relationship between a pair of
            ProductConfigurations. "
295,ProductConfigurationRevisionSequence,"A ProductConfigurationRevisionSequence is a specialization of
            ProductConfigurationRelationship that is used to relate a previous version (predecessor)
            of a ProductConfiguration to the version that replaces it (successor).
         "
296,ProductDefinitionElementRelationship,"A ProductDefinitionElementRelationship is a relationship between a
            BreakdownElementDefinition or a BreakdownElementUsage and a ViewDefinitionRelationship
            or a ProductViewDefinition "
297,ProductDesignToIndividual,"A ProductDesignToIndividual is a relationship between a product design,
            represented by Product, and the product that is planned to be made or has been made from
            the design, represented by ProductAsIndividual. "
298,ProductDesignVersionToIndividual,"A ProductDesignVersionToIndividual is a relationship between a version
            of a product design, represented by ProductVersion or ProductConfiguration, and the
            product that is planned to be made ( ProductAsPlanned) or has been made (
            ProductAsRealized) from the design. "
299,ProductDesignViewToIndividual,"A ProductDesignViewToIndividual is a relationship between a product
            design, represented by ProductViewDefinition. or ProductConfiguration, and a view of the
            product that is planned to be made or has been made ( ProductAsIndividualView) from the
            design. "
300,ProductGroup,"A ProductGroup is an identification of a set of ProductConcepts,
            Products, ProductGroups, ProductVersions or ProductAsIndividuals that have been grouped
            together. All the aircraft sold to BigPlanes airways. "
301,ProductGroupMembership,"A ProductGroupMembership is an identification of an instance of an
            entity defined in the type ProductGroupMembershipSelect that belongs to a ProductGroup.
         "
302,ProductGroupRelationship,"A ProductGroupRelationship is a relationship between two ProductGroups.
            ExternalOwlClass is used to specify the meaning or type of the relationship. NOTE: A
            subset is a common type of relationship. It indicates that one ProductGroup is a subset
            of another. "
303,ProductInAttachmentSlot,"A ProductInAttachmentSlot is a specialization of ViewDefinitionUsage
            that is a relationship between an AttachmentSlot and a ProductViewDefinition of a
            Product that is designed to be attached to the attachment slot. A long-range fuel tank
            is designed to be attached to an aircraft in an attachment slot that corresponds to a
            pylon mounting on a wing. "
304,ProductPlannedToRealized,"A ProductPlannedToRealized is a relationship that establishes that a
            revision of a planned artefact represented by ProductAsPlanned has been realized as a
            revision of an actual artefact ProductAsRealized. "
305,ProductRelationship,"A ProductRelationship is an association between two Products.
         "
306,ProductVersion,"A ProductVersion is a revision of a Product. It is a collector of the
            definitions of this revision of the Product. NOTE: The set of all instances of
            ProductVersion of the same Product represents the history of the product.
         "
307,ProductVersionRelationship,"A ProductVersionRelationship is an association between two versions of
            Product. NOTE: A relationship may exist between ProductVersion of different Product or
            between different versions of the same Product. "
308,ProductViewDefinition,"A ProductViewDefinition is a characterization of a ProductVersion,
            relevant in one or more application domains and for one or more life cycle stages. A
            ProductViewDefinition is a collector of the properties that characterize the
            ProductVersion in the initialContext and additionalContexts. The design of the SS
            Titanic and the as-built description of the SS Titanic can be represented as two
            instances of ProductViewDefinition. "
309,Project,A Project is an identified program of work. 
310,ProjectAssignment,"A ProjectAssignment is a mechanism to associate a Project with activity
            or product data. "
311,ProjectRelationship,"A ProjectRelationship is an association between two instances of Project
            with an identification and a description of their relationship. "
312,PromissoryAssemblyViewUsage,"A PromissoryAssemblyViewUsage is a specialization of
            AssemblyViewRelationship. It establishes a relationship between an assembly and a
            component, regardless of the number of intermediate levels between them, which may be
            established with instances of NextAssemblyViewUsage. NOTE: A PromissoryAssemblyViewUsage
            may be used when the product structure is not completely defined, to capture the intent
            that the constituent will be used in that assembly. "
313,PropertyDefinitionAssignment," A PropertyDefinitionAssignment is a specialization of an
            AssignmentObject that represents the assignment of a ExternalPropertyDefinition to
            product or activity data. NOTE: The meaning of the assignment is determined by
            classification which is identified by the AssignmentObject property. The possible
            classifications are subclasses of . "
314,PropertyDefinitionRelationship, To be defined 
315,PropertyValue," A PropertyValue acts as a proxy for a notional property value which may
            have several representations. NOTE: The actual magnitude and descriptions of a
            PropertyValue (e.g. 1 kilogramme or 2.2 pounds) are only provided as part of one or more
            representations of a PropertyValue. The PropertyValue itself cannot have a magnitude, or
            even a name, that is independent of the type of representation chosen for the value in
            question. "
316,PropertyValueAssignment," A PropertyValueAssignment assigns a PropertyValue (or collection of
            equivalent PropertyValues) to activity or product data. "
317,PropertyValueRelationship," A PropertyValueRelationship is a specialization of RelationshipObject.
            It represents an association between two PropertyValues. An association between a value
            for a property expressed in a given unit and an equivalent value for the same property
            in a different unit. The PropertyValueRelationship is classified as a .
         "
318,Proxy," A Proxy is a relationship between a subject and something for which the
            subject is a proxy. "
319,ProxyRelationship," A ProxyRelationship is a relationship between a pair of Proxys. NOTE:
            This relationship may be classified to provide more specific meanings.
         "
320,QualificationAssignment,"A QualificationAssignment is the assignment of a qualification to a
            person or organization. "
321,QualificationType,"A QualificationType is the identification of a definitive recognition as
            a practitioner. A driving licence. A qualification for executing the Ground Running task
            for RB211 engines. A Military rank such as Colonel, or Captain Educational qualification
            such as GCSE, A level, Degree, Ordinary National Certificate, Higher National
            Certificate, City and Guilds, or GNVQ. "
322,QualificationTypeRelationship,"A QualificationTypeRelationship is an association between two
            QualificationTypes. Qualification X is a prerequisite for qualification Y. Qualification
            X is equivalent to qualification Y. "
323,QualitativeUncertainty,"A QualitativeUncertainty is a specialization of UncertaintyQualifier.
            The uncertainty is defined in clause 2 of ""The Guide to the Expression of Uncertainty in
            Measurement"". "
324,RandomVariable," A RandomVariable is a specialization of NumericalValue that is the
            value of a random variable. NOTE: The value attribute is inherited from the parent
            generalization. "
325,RegionalCoordinate,"A RegionalCoordinate is a location that is specified relative to a
            Regional location system. "
326,RegionalGridLocationRepresentation,"A RegionalGridLocationRepresentation is a specialization of
            LocationRepresentation that specifies a reference grid system. "
327,RelatedConditionParameter,"A RelatedConditionParameter is a relationship between a
            ConditionParameter and a ConditionEvaluationParameter. This relationship is used to
            record the relationship between the parameters used to define a condition and the
            parameters used to evaluate it. The value of oil pressure (1.9 bar) used in
            ConditionEvaluation (instance 87) was a measured value of the parameter used to define
            condition 29 (oil pressure on gauge 3). "
328,RelatedConsequence,"A RelatedConsequence is a specialization of ViewDefinitionRelationship
            describing the expected consequences of a specific perception of a risk.
         "
329,RelationshipObject," A RelationshipObject represents a dependency between sets of product or
            activity data. "
330,RepeatCount,"A RepeatCount is a type of LoopingElement. It invokes a specified number
            of repetitions of the LoopingElement TaskElement inherited from the LoopingElement
            parent generalization. "
331,RepeatUntil,"A RepeatUntil is a type of LoopingElement. It invokes repetitions of a
            further TaskElement and is repeated until the specified condition is satisfied. The
            element being repeated shall be executed at least once and the condition tested after
            the first execution. "
332,RepeatWhile,"A RepeatWhile is a type of LoopingElement. It invokes repetitions of a
            further TaskElement and is repeated while the specified condition is satisfied. The test
            condition shall be evaluated prior to invoking the method and may result in the
            LoopingElement not being executed at all. "
333,RequiredResource," A RequiredResource is an identified need for resource. The role of a
            required resource is determined by classification. ""facility"", ""test equipment"",
            ""supervisor"" are examples of classifications of a required resource.
         "
334,RequiredResourceAssignment,"A RequiredResourceAssignment is an association of a resource requirement
            statement with one or more entities that requires the resource. task, task step,
            activity, activity method, organization are examples of entities to which the resource
            requirement statement could be related. The role of the assignment is determined by
            classification. The assignment can be classified as ""required by"". NOTE: An association
            between a required resource and actions that are needed prior to its usage. A resource
            required by the activity ""12"" needs to be calibrated prior to usage. The calibration
            activity ""21"" is associated with the same required resource A resource required by the
            task ""123"" needs to be disposed after its usage. This disposal task ""456"" is associated
            with the same required resource. "
335,RequiredResourceRelationship,"A RequiredResourceRelationship is a relationship between two required
            resource statements. The meaning of the relationship is determined by classification.
            ""alternative"" and ""realized by"" are examples of required resource relationship.
         "
336,Requirement,"A Requirement is a specialization of Product that is used to uniquely
            identify a requirement. NOTE: The term ""requirement"" is used here in the sense that term
            is used in systems engineering and similar industrial domains. NOTE: There may be many
            versions of a requirement RequirementVersion ). There may also be more than one
            domain-specific view of a given RequirementVersion (using the RequirementViewDefinition
            entity). The requirement entity is simply a placeholder for holding a unique
            requirement. Most associations and properties are defined at the
            RequirementViewDefinition level - that is in the context of a domain. A requirement may
            be identified as ""NOx emissions requirement"", and uniquely identified as ""Req2"". NOTE:
            Systems engineering tools and organizations may use differing identification mechanisms.
            Multiple identifiers may be assigned to a requirement using the Identifier entity.
         "
337,RequirementAssignment,"A RequirementAssignment is used to relate a requirement (via the
            RequirementViewDefinition entity) to data types representing the items which are
            affected by the requirement. A requirement ""the vehicle shall have a maximum power
            output of at least 150BHP"" could be assigned to the data types which are used to
            represent the vehicle's engine. "
338,RequirementCollectionRelationship," A RequirementCollectionRelationship is a specialization of
            ViewDefinitionRelationship that is used to relate a parent (collection) requirement to
            its member requirements. This provides a method for collecting together a set of
            requirements and treating them as a single requirement, whilst still being able to refer
            to individual requirements. NOTE: The inherited "" ViewDefinitionRelationship"" and ""
            ViewDefinitionRelationship"" attributes have been renamed for purposes of clarity.
         "
339,RequirementSatisfiedBy,"A RequirementSatisfiedBy is a relationship between an item (specified in
            RequirementAssignmentSelect) and a requirement, asserting that the item satisfies the
            identified requirement. A data type used to represent a vehicle's engine with a power
            output of 160BHP could be asserted to satisfy a requirement ""the vehicle shall have a
            maximum power output of at least 150BHP"". "
340,RequirementSource,"A RequirementSource is a relationship between a requirement (via the
            RequirementViewDefinition entity) and the data types representing the source of the
            requirement The source of the requirement ""the vehicle shall have a maximum power output
            of at least 150BHP"" could be a document representing the findings of a market survey of
            sports car buyers. "
341,RequirementVersion,"A RequirementVersion is a specialization of ProductVersion that
            identifies a particular version of a requirement. NOTE: This entity is used to record
            different versions of a requirement. In this case, the word ""version"" implies ""revision""
            - that is a particular release of a requirement. A given requirement might have versions
            1.0, 1.1, 1.2 and 2.0. "
342,RequirementVersionRelationship,"A RequirementVersionRelationship is a specialization of
            ProductVersionRelationship that is used to relate a previous version (predecessor) of a
            requirement to the version that replaces it (successor). "
343,RequirementViewDefinition," A RequirementViewDefinition is a specialization of
            ProductViewDefinition that provides a view of a requirement version relevant for one or
            more application domains. This view collects requirement data for specific engineering
            purposes. An engineer may have responsibility for collecting all requirements associated
            with the cooling of an engine - covering engine block, tubing, water pump, electric fan.
            Some requirements in a RequirementViewDefinition might impact on different disciplines.
            Multiple RequirementViewDefinition instances may be used to present different views of a
            given requirement for each discipline. The definition of the requirement is represented
            by a set of definitional properties referenced from
            RequirementViewDefinition.definitionalRepresentations. If more than one definitional
            property is provided each property shall be equivalent. Any other property that is
            associated with the RequirementViewDefinition is assumed to be a non-defining property,
            such as an annotation etc. The requirement that the weight should be less than 4 Kgs can
            be represented by by a string representation ""weight must be 4Kg"" and a numeric
            representation ""4Kg"" specified as a value with units. NOTE: The definition attribute of
            each of the definitionalRepresentations shall refer to a definition for
            RequirementDefinition. The definition attribute of the definitionalRepresentations could
            refer to an ExternalPropertyDefinition that uses an ExternalOwlObject with individual
            set to
            ""http://docs.oasis-open.org/plcs/ns/plcslib/v1.0/data/contexts/OASIS/refdata/plcs-rdl#Requirement_definition"".
         "
344,RequirementViewDefinitionRelationship,"A RequirementViewDefinitionRelationship is a specialization of
            ViewDefinitionRelationship. A RequirementViewDefinitionRelationship is the association
            between one RequirementViewDefinition and another. "
345,ResourceAsRealized,"A ResourceAsRealized is a record of a resource that has been used or
            consumed. A resource as realized can be classified as ""Used"" or ""Consumed"".
         "
346,ResourceAsRealizedAssignment,"A ResourceAsRealizedAssignment is an association of a resource record
            statement with the entity that used or consumed the resource. The role of the assignment
            is determined by classification. "
347,ResourceAsRealizedRelationship," A ResourceAsRealizedRelationship is a relationship between the record
            of used or consumed resources and the corresponding statement of RequiredResource.
            ""Alternative"" and ""Corresponding"" are examples of classifications of resource as
            realized relationship. NOTE: A resource used or consumed can be recorded without having
            a corresponding resource requirement statement. "
348,ResourceEvent," A ResourceEvent is an abstract generalization of instances that
            represents an event or action that affects the balance or availability of a managed
            resource. NOTE: Only non-abstract specializations of the ResourceEvent can be
            instantiated. A ResourceEvent is The role of a resource event is determined by which is
            defined by the ResourceEvent property. A resource event can be classified as ""Planned""
            or ""Actual"". "
349,ResourceEventCorrespondenceRelationship,"A ResourceEventCorrespondenceRelationship is an association of a
            resource event and a corresponding statement of RequiredResource. The meaning of the
            relationship is determined by classification. NOTE: A resource event can be planned or
            recorded without having a corresponding resource requirement statement. A resource event
            correspondence relationship can be classified as ""Designated for"". "
350,ResourceEventRelationship,"A ResourceEventRelationship is a specification of how an ResourceEvent
            may be associated with another ResourceEvent. The meaning of the relationship is
            determined by classification. A managed resource relationship can be classified as
            ""realized by"" or ""replaces"". "
351,ResourceGroupRelationship,"A ResourceGroupRelationship is a specialization of
            ResourceItemRelationship that specifies the means to associate two resource items that
            are part of a resource group. The meaning of the entity is determined by classification.
            The relationship between a tool set and a mallet could be classified as ""Contains"". The
            relationship between a facility and compressed air could be classified as ""Provides"".
         "
352,ResourceItem,"A ResourceItem is an item that can occur in the role of a resource
            within the application context. A ResourceItem may be classified as ""Facility"",
            ""Replaceable unit"", or ""Package"". "
353,ResourceItemAssignment," A ResourceItemAssignment is an association of a resource item with some
            product information. The role of the assignment is determined by classification. The
            assignment can be classified as ""applicable to"" or ""acquired for"". "
354,ResourceItemRealization," A ResourceItemRealization is a specification of how a resource item may
            be associated with an item that serves as the resource. A product may serve as a
            resource. "
355,ResourceItemRelationship," A ResourceItemRelationship is a specification of how a resource item
            may be associated with another resource item. The role of the relationship is determined
            by classification. The relationship between a product and a package can be classified as
            ""Preferred"". "
356,Risk,"A Risk is a specialization of Product that is the potential for
            realization of unwanted negative consequences of an event. NOTE: ISO GUIDE 73 defines
            ""risk"" as the combination of the probability of an event and its consequence. In some
            situations, risk is a deviation from the expected. NOTE: A risk can also have a possible
            positive outcome. In such cases it is often referred to as an opportunity or reward.
            NOTE: ISO/IEC Guide 51:1999 defines risk as the combination of the probability of
            occurrence of harm and the severity of that harm. NOTE: In the safety field, risk
            management is focused on prevention and mitigation of harm. ISO/IEC Guide 51:1999 should
            be used for safety aspects. 'Line shutdown' is an example of Risk in the context of a
            manufacturing system's reliability. 'Transportation jam-up', 'customer anger',
            'collateral damage', and 'greater susceptibility to interruption of supply during
            crises' are all examples of Risk. 'Privacy' and 'security' are examples of Risk for the
            telecommunications industry. 'Fly-by-wire', the form-fit-function replacement of
            mechanical devices with a combination of electrical, hydraulic, and pneumatic units.
            Timing such as 'premature rejection' and 'premature commitment' are other examples of
            Risk. "
357,RiskConsequence,"A RiskConsequence is a specialization of RiskViewDefinition and
            specifies the outcome of an event. NOTE: There may be one or more consequences of an
            event. NOTE: Consequences can range from positive to negative. However, consequences are
            always negative for safety aspects. NOTE: Consequences can be expressed qualitatively or
            quantitatively. "
358,RiskEvent," A RiskEvent is a specialization of an AssignmentObject that represents
            the unwanted (or wanted) event resulting in the RiskPerception. The probability of the
            event occurring is represented by a set of probabilities referenced from
            RiskEvent.probabilityRepresentations. If more than one probability is provided each
            probability shall be equivalent. NOTE: The definition attribute of the
            probabilityRepresentations shall refer to a definition for perceivedProbability. The
            definition attribute of the probabilityRepresentations could refer to an
            ExternalPropertyDefinition that uses an ExternalOwlObject with individual set to
            ""http://docs.oasis-open.org/plcs/ns/plcslib/v1.0/data/contexts/OASIS/refdata/plcs-rdl#Perceived_Probability"".
         "
359,RiskImpactAssignment," A RiskImpactAssignment is a specialization of AssignmentObject and a
            type of PropertyAssignmentSelect. It assigns a set of items that might be impacted to
            the RiskConsequence that is the cause of the effect. "
